GRID,ID_VUELO,value,esteX,norteY,VIS_BEACH,VIS_WATER,KAYAKS,BOATS,SKY_COVER,WATER_TEMP,FECHA
1,V10C,0,795406.88330,9915155.57300,23,23,0,0,8,26,5/12/2021
2,V10C,1,795436.88330,9915155.57300,23,23,0,0,8,26,5/12/2021
5,V10C,0,795376.88330,9915185.57300,23,23,0,0,8,26,5/12/2021
6,V10C,0,795406.88330,9915185.57300,23,23,0,0,8,26,5/12/2021
7,V10C,0,795436.88330,9915185.57300,23,23,0,0,8,26,5/12/2021
8,V10C,0,795466.88330,9915185.57300,23,23,0,0,8,26,5/12/2021
9,V10C,0,795496.88330,9915185.57300,23,23,0,0,8,26,5/12/2021
11,V10C,0,795346.88330,9915215.57300,23,23,0,0,8,26,5/12/2021
12,V10C,0,795376.88330,9915215.57300,23,23,0,0,8,26,5/12/2021
13,V10C,0,795406.88330,9915215.57300,23,23,0,0,8,26,5/12/2021
14,V10C,0,795436.88330,9915215.57300,23,23,0,0,8,26,5/12/2021
15,V10C,0,795466.88330,9915215.57300,23,23,0,0,8,26,5/12/2021
16,V10C,0,795496.88330,9915215.57300,23,23,0,0,8,26,5/12/2021
17,V10C,1,795526.88330,9915215.57300,23,23,0,0,8,26,5/12/2021
18,V10C,3,795316.88330,9915245.57300,23,23,0,0,8,26,5/12/2021
19,V10C,0,795346.88330,9915245.57300,23,23,0,0,8,26,5/12/2021
20,V10C,0,795376.88330,9915245.57300,23,23,0,0,8,26,5/12/2021
21,V10C,0,795406.88330,9915245.57300,23,23,0,0,8,26,5/12/2021
22,V10C,0,795436.88330,9915245.57300,23,23,0,0,8,26,5/12/2021
23,V10C,0,795466.88330,9915245.57300,23,23,0,0,8,26,5/12/2021
24,V10C,0,795496.88330,9915245.57300,23,23,0,0,8,26,5/12/2021
25,V10C,0,795526.88330,9915245.57300,23,23,0,0,8,26,5/12/2021
26,V10C,0,795556.88330,9915245.57300,23,23,0,0,8,26,5/12/2021
27,V10C,0,795286.88330,9915275.57300,23,23,0,0,8,26,5/12/2021
28,V10C,1,795316.88330,9915275.57300,23,23,0,0,8,26,5/12/2021
29,V10C,0,795346.88330,9915275.57300,23,23,0,0,8,26,5/12/2021
30,V10C,0,795376.88330,9915275.57300,23,23,0,0,8,26,5/12/2021
31,V10C,0,795406.88330,9915275.57300,23,23,0,0,8,26,5/12/2021
32,V10C,0,795436.88330,9915275.57300,23,23,0,0,8,26,5/12/2021
33,V10C,1,795466.88330,9915275.57300,23,23,0,0,8,26,5/12/2021
34,V10C,0,795496.88330,9915275.57300,23,23,0,0,8,26,5/12/2021
35,V10C,0,795526.88330,9915275.57300,23,23,0,0,8,26,5/12/2021
36,V10C,0,795556.88330,9915275.57300,23,23,0,0,8,26,5/12/2021
37,V10C,1,795586.88330,9915275.57300,23,23,0,0,8,26,5/12/2021
38,V10C,0,795256.88330,9915305.57300,23,23,0,0,8,26,5/12/2021
39,V10C,1,795286.88330,9915305.57300,23,23,0,0,8,26,5/12/2021
40,V10C,0,795316.88330,9915305.57300,23,23,0,0,8,26,5/12/2021
41,V10C,0,795346.88330,9915305.57300,23,23,0,0,8,26,5/12/2021
42,V10C,0,795376.88330,9915305.57300,23,23,0,0,8,26,5/12/2021
43,V10C,0,795406.88330,9915305.57300,23,23,0,0,8,26,5/12/2021
44,V10C,0,795436.88330,9915305.57300,23,23,0,0,8,26,5/12/2021
45,V10C,0,795466.88330,9915305.57300,23,23,0,0,8,26,5/12/2021
46,V10C,1,795496.88330,9915305.57300,23,23,0,0,8,26,5/12/2021
47,V10C,0,795526.88330,9915305.57300,23,23,0,0,8,26,5/12/2021
48,V10C,0,795556.88330,9915305.57300,23,23,0,0,8,26,5/12/2021
49,V10C,0,795586.88330,9915305.57300,23,23,0,0,8,26,5/12/2021
50,V10C,0,795616.88330,9915305.57300,23,23,0,0,8,26,5/12/2021
53,V10C,0,795706.88330,9915305.57300,23,23,0,0,8,26,5/12/2021
55,V10C,0,795226.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
56,V10C,0,795256.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
57,V10C,0,795286.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
58,V10C,0,795316.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
59,V10C,0,795346.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
60,V10C,2,795376.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
61,V10C,12,795406.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
62,V10C,5,795436.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
63,V10C,0,795466.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
64,V10C,0,795496.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
65,V10C,1,795526.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
66,V10C,0,795556.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
67,V10C,0,795586.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
68,V10C,0,795616.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
69,V10C,0,795646.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
70,V10C,0,795676.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
71,V10C,0,795706.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
72,V10C,0,795736.88330,9915335.57300,23,23,0,0,8,26,5/12/2021
80,V10C,0,795256.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
81,V10C,0,795286.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
82,V10C,0,795316.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
83,V10C,0,795346.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
84,V10C,0,795376.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
85,V10C,5,795406.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
86,V10C,4,795436.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
87,V10C,5,795466.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
88,V10C,0,795496.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
89,V10C,0,795526.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
90,V10C,0,795556.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
91,V10C,0,795586.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
92,V10C,0,795616.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
93,V10C,1,795646.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
94,V10C,0,795676.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
95,V10C,0,795706.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
96,V10C,0,795736.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
97,V10C,0,795766.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
98,V10C,0,795796.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
101,V10C,0,795886.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
102,V10C,0,795916.88330,9915365.57300,23,23,0,0,8,26,5/12/2021
105,V10C,0,795346.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
106,V10C,0,795376.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
107,V10C,3,795406.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
108,V10C,0,795436.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
109,V10C,2,795466.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
110,V10C,0,795496.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
111,V10C,0,795526.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
112,V10C,0,795556.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
113,V10C,0,795586.88330,9915395.57300,23,23,0,0,8,26,5/12/2021
